logY Y P PoverSqrtY
6.90675 999 -4.4945 -0.142199
6.90975 1002 -4.5500 -0.143740
6.91175 1004 -4.6829 -0.147790
6.91374 1006 -4.8226 -0.152047
6.91672 1009 -4.6648 -0.146854
6.91870 1011 -4.6276 -0.145540
6.92067 1013 -4.5899 -0.144212
6.92264 1015 -4.3288 -0.135873
6.92560 1018 -4.5008 -0.141065
6.92756 1020 -4.8038 -0.150413
6.92952 1022 -4.4138 -0.138065
6.93245 1025 -4.1080 -0.128312
6.93440 1027 -4.1006 -0.127957
6.93634 1029 -3.9167 -0.122098
6.93828 1031 -4.1914 -0.130536
6.94119 1034 -4.3814 -0.136256
6.94312 1036 -3.9385 -0.122363
6.94505 1038 -4.0136 -0.124576
6.94794 1041 -4.0757 -0.126321
6.94986 1043 -3.8781 -0.120083
6.95273 1046 -4.0797 -0.126143
6.95464 1048 -4.0481 -0.125045
6.95655 1050 -3.6993 -0.114163
6.95940 1053 -3.6912 -0.113751
6.96130 1055 -3.8466 -0.118426
6.96319 1057 -3.8285 -0.117759
6.96602 1060 -4.1772 -0.128301
6.96791 1062 -4.0249 -0.123506
6.97073 1065 -3.6423 -0.111610
6.97261 1067 -3.5883 -0.109852
6.97448 1069 -3.6615 -0.111986
6.97728 1072 -3.6420 -0.111237
6.97915 1074 -3.5362 -0.107904
6.98193 1077 -3.1373 -0.095598
6.98379 1079 -3.0718 -0.093516
6.98564 1081 -3.0298 -0.092150
6.98841 1084 -3.0883 -0.093800
6.99026 1086 -3.2210 -0.097742
6.99302 1089 -3.0379 -0.092056
6.99485 1091 -2.8643 -0.086718
6.99760 1094 -3.0697 -0.092808
6.99942 1096 -3.0953 -0.093497
7.00216 1099 -3.1472 -0.094936
7.00397 1101 -3.1489 -0.094900
7.00670 1104 -3.1404 -0.094515
7.00851 1106 -3.0316 -0.091157
7.01121 1109 -3.2081 -0.096336
7.01302 1111 -3.5228 -0.105691
7.01571 1114 -3.2822 -0.098339
7.01751 1116 -3.3624 -0.100650
7.02019 1119 -3.5047 -0.104770
7.02198 1121 -3.7673 -0.112521
7.02465 1124 -4.4443 -0.132562
7.02643 1126 -4.4623 -0.132980
7.02909 1129 -4.4013 -0.130988
7.03086 1131 -4.3286 -0.128712
7.03351 1134 -4.2741 -0.126921
7.03527 1136 -4.6476 -0.137891
7.03791 1139 -4.3976 -0.130302
7.03966 1141 -3.9651 -0.117385
7.04229 1144 -3.9360 -0.116370
7.04491 1147 -3.8486 -0.113638
7.04665 1149 -3.9476 -0.116458
7.04925 1152 -3.9531 -0.116468
7.05099 1154 -3.7592 -0.110661
7.05359 1157 -3.7940 -0.111539
7.05618 1160 -3.8747 -0.113765
7.05790 1162 -3.8966 -0.114308
7.06048 1165 -3.9928 -0.116982
7.06219 1167 -3.9168 -0.114656
7.06476 1170 -3.5640 -0.104194
7.06732 1173 -3.6812 -0.107484
7.06902 1175 -3.7294 -0.108797
7.07157 1178 -3.7498 -0.109254
7.07412 1181 -3.6186 -0.105297
7.07581 1183 -3.4045 -0.098984
7.07834 1186 -3.5701 -0.103665
7.08087 1189 -3.8036 -0.110308
7.08255 1191 -3.7385 -0.108327
7.08506 1194 -3.6102 -0.104479
7.08757 1197 -3.4760 -0.100468
7.08924 1199 -3.7515 -0.108343
7.09174 1202 -3.9440 -0.113759
7.09423 1205 -3.4926 -0.100613
7.09589 1207 -3.3828 -0.097370
7.09838 1210 -3.3635 -0.096693
7.10085 1213 -3.7924 -0.108889
7.10332 1216 -4.1314 -0.118476
7.10497 1218 -3.8456 -0.110191
7.10743 1221 -3.8484 -0.110135
7.10988 1224 -3.7321 -0.106676
7.11233 1227 -4.0794 -0.116460
7.11396 1229 -4.1789 -0.119202
7.11639 1232 -3.9408 -0.112275
7.11883 1235 -3.9839 -0.113363
7.12125 1238 -4.0556 -0.115265
7.12367 1241 -4.4125 -0.125256
7.12528 1243 -4.1519 -0.117765
7.12769 1246 -3.8649 -0.109491
7.13010 1249 -4.0323 -0.114097
7.13250 1252 -4.1841 -0.118249
7.13489 1255 -4.5489 -0.128405
7.13648 1257 -4.3115 -0.121607
7.13887 1260 -4.0357 -0.113693
7.14125 1263 -3.9447 -0.110996
7.14362 1266 -3.9971 -0.112338
7.14598 1269 -4.1846 -0.117470
7.14835 1272 -3.9422 -0.110533
7.14992 1274 -3.7661 -0.105514
7.15227 1277 -4.0563 -0.113509
7.15462 1280 -4.2035 -0.117491
7.15696 1283 -4.1460 -0.115748
7.15929 1286 -4.0652 -0.113361
7.16162 1289 -4.0818 -0.113692
7.16395 1292 -4.4079 -0.122630
7.16627 1295 -4.4046 -0.122398
7.16858 1298 -4.3281 -0.120133
7.17089 1301 -4.3012 -0.119249
7.17242 1303 -4.4911 -0.124417
7.17472 1306 -5.0017 -0.138404
7.17702 1309 -4.8324 -0.133564
7.17931 1312 -4.8172 -0.132992
7.18159 1315 -4.7974 -0.132296
7.18387 1318 -4.9354 -0.135944
7.18614 1321 -4.8670 -0.133910
7.18841 1324 -4.5191 -0.124196
7.19068 1327 -4.5738 -0.125557
7.19293 1330 -4.6262 -0.126853
7.19519 1333 -4.9603 -0.135859
7.19744 1336 -4.6064 -0.126026
7.19968 1339 -4.6703 -0.127630
7.20192 1342 -4.9156 -0.134185
7.20415 1345 -5.2999 -0.144514
7.20638 1348 -5.1941 -0.141470
7.20860 1351 -4.9038 -0.133416
7.21082 1354 -4.8969 -0.133080
7.21303 1357 -4.7026 -0.127659
7.21524 1360 -4.6663 -0.126532
7.21744 1363 -4.4674 -0.121005
7.22037 1367 -4.3470 -0.117573
7.22257 1370 -4.5605 -0.123211
7.22475 1373 -4.4551 -0.120233
7.22694 1376 -4.3319 -0.116779
7.22911 1379 -4.2300 -0.113909
7.23129 1382 -4.6268 -0.124458
7.23346 1385 -4.8549 -0.130455
7.23562 1388 -4.6561 -0.124978
7.23778 1391 -4.5110 -0.120952
7.23993 1394 -4.1680 -0.111635
7.24280 1398 -4.4426 -0.118820
7.24494 1401 -4.0323 -0.107729
7.24708 1404 -3.9349 -0.105015
7.24922 1407 -3.8275 -0.102038
7.25134 1410 -4.0918 -0.108968
7.25347 1413 -3.7559 -0.099917
7.25630 1417 -3.6181 -0.096115
7.25841 1420 -3.7108 -0.098476
7.26052 1423 -4.1469 -0.109930
7.26263 1426 -3.9511 -0.104631
7.26473 1429 -3.7584 -0.099424
7.26753 1433 -3.8607 -0.101985
7.26962 1436 -3.9583 -0.104456
7.27170 1439 -3.7273 -0.098256
7.27379 1442 -3.2527 -0.085657
7.27656 1446 -3.1575 -0.083034
7.27863 1449 -3.0763 -0.080815
7.28070 1452 -2.7156 -0.071266
7.28276 1455 -2.3820 -0.062446
7.28551 1459 -2.5131 -0.065793
7.28756 1462 -2.6114 -0.068297
7.28961 1465 -2.6441 -0.069081
7.29234 1469 -2.4076 -0.062817
7.29438 1472 -2.6012 -0.067799
7.29641 1475 -2.9819 -0.077643
7.29845 1478 -2.6783 -0.069667
7.30115 1482 -2.5431 -0.066061
7.30317 1485 -2.4627 -0.063908
7.30519 1488 -2.6926 -0.069803
7.30787 1492 -2.3718 -0.061403
7.30988 1495 -2.3659 -0.061189
7.31255 1499 -2.4806 -0.064070
7.31455 1502 -2.5912 -0.066860
7.31655 1505 -2.2519 -0.058048
7.31920 1509 -2.1943 -0.056487
7.32119 1512 -2.2562 -0.058024
7.32383 1516 -2.6470 -0.067983
7.32581 1519 -2.4068 -0.061754
7.32778 1522 -2.6152 -0.067034
7.33041 1526 -2.9985 -0.076759
7.33237 1529 -3.3010 -0.084419
7.33498 1533 -3.3220 -0.084844
7.33694 1536 -3.5265 -0.089981
7.33954 1540 -3.5984 -0.091697
7.34148 1543 -3.5038 -0.089199
7.34407 1547 -3.1908 -0.081126
7.34601 1550 -3.4234 -0.086954
7.34859 1554 -3.7308 -0.094640
7.35052 1557 -3.6502 -0.092507
7.35308 1561 -3.7644 -0.095277
7.35500 1564 -4.0102 -0.101402
7.35756 1568 -4.0835 -0.103124
7.35947 1571 -4.0924 -0.103249
7.36201 1575 -3.9523 -0.099588
7.36391 1578 -4.1457 -0.104362
7.36645 1582 -3.8254 -0.096178
7.36834 1585 -3.6467 -0.091597
7.37086 1589 -3.6570 -0.091741
7.37275 1592 -4.1713 -0.104544
7.37526 1596 -3.8763 -0.097029
7.37776 1600 -4.1989 -0.104973
7.37963 1603 -4.3048 -0.107520
7.38212 1607 -4.6091 -0.114976
7.38399 1610 -4.4469 -0.110828
7.38647 1614 -4.5975 -0.114438
7.38895 1618 -4.8599 -0.120821
7.39080 1621 -4.6086 -0.114466
7.39326 1625 -4.0642 -0.100820
7.39572 1629 -4.1432 -0.102653
7.39756 1632 -4.0718 -0.100792
7.40001 1636 -3.8224 -0.094502
7.40245 1640 -3.8438 -0.094916
7.40428 1643 -4.0955 -0.101040
7.40671 1647 -4.2430 -0.104550
7.40914 1651 -4.1179 -0.101344
7.41156 1655 -4.4980 -0.110567
7.41337 1658 -4.6971 -0.115354
7.41578 1662 -4.3979 -0.107878
7.41818 1666 -4.2936 -0.105192
7.41998 1669 -4.5629 -0.111689
7.42237 1673 -4.2987 -0.105098
7.42476 1677 -4.2394 -0.103523
7.42714 1681 -4.3507 -0.106115
7.42952 1685 -4.6547 -0.113396
7.43130 1688 -4.2915 -0.104453
7.43367 1692 -4.3385 -0.105473
7.43603 1696 -4.5761 -0.111117
7.43838 1700 -3.9572 -0.095976
7.44073 1704 -3.9909 -0.096679
7.44249 1707 -4.1848 -0.101288
7.44483 1711 -4.2802 -0.103475
7.44717 1715 -4.0544 -0.097902
7.44950 1719 -4.2091 -0.101519
7.45182 1723 -4.4733 -0.107767
7.45414 1727 -4.3139 -0.103807
