logY Y P PoverSqrtY
6.90675 999 -3.7135 -0.117491
6.90975 1002 -5.0508 -0.159562
6.91175 1004 -4.2791 -0.135047
6.91374 1006 -4.4002 -0.138730
6.91672 1009 -4.6044 -0.144954
6.91870 1011 -4.4048 -0.138532
6.92067 1013 -4.0236 -0.126419
6.92264 1015 -4.5353 -0.142355
6.92560 1018 -5.3516 -0.167730
6.92756 1020 -5.5949 -0.175184
6.92952 1022 -5.7311 -0.179271
6.93245 1025 -5.3601 -0.167422
6.93440 1027 -5.0188 -0.156607
6.93634 1029 -5.4848 -0.170982
6.93828 1031 -5.8214 -0.181299
6.94119 1034 -5.7926 -0.180142
6.94312 1036 -5.7138 -0.177518
6.94505 1038 -6.4628 -0.200597
6.94794 1041 -5.0773 -0.157364
6.94986 1043 -4.5196 -0.139944
6.95273 1046 -5.1267 -0.158517
6.95464 1048 -5.1572 -0.159307
6.95655 1050 -5.0419 -0.155597
6.95940 1053 -5.4090 -0.166687
6.96130 1055 -4.0197 -0.123755
6.96319 1057 -3.5231 -0.108365
6.96602 1060 -3.8273 -0.117556
6.96791 1062 -5.0628 -0.155357
6.97073 1065 -4.4279 -0.135681
6.97261 1067 -4.3497 -0.133160
6.97448 1069 -4.1643 -0.127364
6.97728 1072 -3.4352 -0.104918
6.97915 1074 -3.9818 -0.121499
6.98193 1077 -5.3507 -0.163044
6.98379 1079 -4.5525 -0.138592
6.98564 1081 -4.6471 -0.141340
6.98841 1084 -4.7708 -0.144902
6.99026 1086 -4.4630 -0.135430
6.99302 1089 -4.5447 -0.137718
6.99485 1091 -4.9651 -0.150320
6.99760 1094 -5.1447 -0.155542
6.99942 1096 -5.2443 -0.158410
7.00216 1099 -5.3427 -0.161161
7.00397 1101 -5.0795 -0.153084
7.00670 1104 -5.2338 -0.157519
7.00851 1106 -5.6286 -0.169246
7.01121 1109 -5.7053 -0.171321
7.01302 1111 -5.7647 -0.172949
7.01571 1114 -5.7924 -0.173545
7.01751 1116 -5.3688 -0.160710
7.02019 1119 -5.2595 -0.157228
7.02198 1121 -5.5423 -0.165535
7.02465 1124 -5.4141 -0.161489
7.02643 1126 -5.3237 -0.158651
7.02909 1129 -5.1570 -0.153479
7.03086 1131 -4.6461 -0.138153
7.03351 1134 -4.4116 -0.131006
7.03527 1136 -4.5747 -0.135729
7.03791 1139 -4.2447 -0.125774
7.03966 1141 -4.0144 -0.118845
7.04229 1144 -3.7152 -0.109843
7.04491 1147 -2.6729 -0.078922
7.04665 1149 -3.0081 -0.088744
7.04925 1152 -4.0601 -0.119621
7.05099 1154 -3.1274 -0.092061
7.05359 1157 -3.2773 -0.096348
7.05618 1160 -2.6859 -0.078860
7.05790 1162 -2.3243 -0.068185
7.06048 1165 -2.7783 -0.081398
7.06219 1167 -4.0434 -0.118362
7.06476 1170 -3.4897 -0.102023
