logY Y P PoverSqrtY
6.90675 999 -2.4000 -0.075931
6.90975 1002 -2.1377 -0.067532
6.91175 1004 -2.1145 -0.066733
6.91374 1006 -2.0442 -0.064449
6.91672 1009 -1.8840 -0.059311
6.91870 1011 -1.7977 -0.056538
6.92067 1013 -1.7574 -0.055215
6.92264 1015 -1.8660 -0.058571
6.92560 1018 -1.8068 -0.056628
6.92756 1020 -1.5516 -0.048584
6.92952 1022 -1.3191 -0.041263
6.93245 1025 -1.3005 -0.040620
6.93440 1027 -1.4473 -0.045161
6.93634 1029 -1.4443 -0.045024
6.93828 1031 -1.4001 -0.043606
6.94119 1034 -1.4095 -0.043835
6.94312 1036 -1.5108 -0.046937
6.94505 1038 -1.5876 -0.049277
6.94794 1041 -1.5103 -0.046810
6.94986 1043 -1.3893 -0.043018
6.95273 1046 -1.5101 -0.046693
6.95464 1048 -1.7893 -0.055273
6.95655 1050 -1.9612 -0.060525
6.95940 1053 -2.1421 -0.066012
6.96130 1055 -2.1476 -0.066118
6.96319 1057 -2.0004 -0.061529
6.96602 1060 -2.1035 -0.064608
6.96791 1062 -2.0099 -0.061675
6.97073 1065 -1.7482 -0.053568
6.97261 1067 -1.6729 -0.051212
6.97448 1069 -1.7531 -0.053618
6.97728 1072 -1.9791 -0.060447
6.97915 1074 -2.0253 -0.061801
6.98193 1077 -1.6668 -0.050791
6.98379 1079 -1.6401 -0.049930
6.98564 1081 -1.6499 -0.050180
6.98841 1084 -1.6614 -0.050461
6.99026 1086 -1.5589 -0.047305
6.99302 1089 -1.4564 -0.044132
6.99485 1091 -1.6000 -0.048441
6.99760 1094 -1.5469 -0.046768
6.99942 1096 -1.3398 -0.040469
7.00216 1099 -0.9276 -0.027980
7.00397 1101 -0.8609 -0.025945
7.00670 1104 -1.0702 -0.032208
7.00851 1106 -1.1243 -0.033806
7.01121 1109 -1.2498 -0.037529
7.01302 1111 -1.4130 -0.042391
7.01571 1114 -1.4616 -0.043793
7.01751 1116 -1.4336 -0.042915
7.02019 1119 -1.3472 -0.040272
7.02198 1121 -1.2020 -0.035899
7.02465 1124 -1.1302 -0.033711
7.02643 1126 -1.2134 -0.036162
7.02909 1129 -1.1832 -0.035214
7.03086 1131 -0.9815 -0.029186
7.03351 1134 -0.6801 -0.020195
7.03527 1136 -0.6402 -0.018994
7.03791 1139 -0.5706 -0.016906
7.03966 1141 -0.4900 -0.014507
7.04229 1144 -0.2935 -0.008678
7.04491 1147 -0.4531 -0.013379
7.04665 1149 -0.6367 -0.018783
7.04925 1152 -0.4179 -0.012313
7.05099 1154 -0.1974 -0.005812
7.05359 1157 -0.0891 -0.002618
7.05618 1160 -0.1974 -0.005795
7.05790 1162 -0.2599 -0.007623
7.06048 1165 -0.2097 -0.006143
7.06219 1167 -0.3592 -0.010514
7.06476 1170 -0.6778 -0.019816
7.06732 1173 -0.6260 -0.018277
7.06902 1175 -0.4226 -0.012328
7.07157 1178 -0.3638 -0.010601
7.07412 1181 -0.5024 -0.014619
7.07581 1183 -0.5290 -0.015381
7.07834 1186 -0.5097 -0.014802
7.08087 1189 -0.4439 -0.012873
7.08255 1191 -0.4445 -0.012880
7.08506 1194 -0.4670 -0.013516
7.08757 1197 -0.4023 -0.011628
7.08924 1199 -0.4796 -0.013851
7.09174 1202 -0.8238 -0.023763
7.09423 1205 -1.0236 -0.029488
7.09589 1207 -1.0046 -0.028915
7.09838 1210 -0.6442 -0.018519
7.10085 1213 -0.6698 -0.019232
7.10332 1216 -0.7633 -0.021889
7.10497 1218 -0.7199 -0.020629
7.10743 1221 -0.7033 -0.020128
7.10988 1224 -1.0524 -0.030080
7.11233 1227 -1.2208 -0.034852
7.11396 1229 -1.1387 -0.032481
7.11639 1232 -0.9860 -0.028090
7.11883 1235 -1.1556 -0.032884
7.12125 1238 -1.2696 -0.036085
7.12367 1241 -1.2728 -0.036130
7.12528 1243 -1.3739 -0.038969
7.12769 1246 -1.5403 -0.043635
7.13010 1249 -1.3863 -0.039225
7.13250 1252 -1.1770 -0.033263
7.13489 1255 -1.2138 -0.034262
7.13648 1257 -1.4193 -0.040032
7.13887 1260 -1.5846 -0.044642
7.14125 1263 -1.5789 -0.044427
7.14362 1266 -1.3369 -0.037573
7.14598 1269 -1.2315 -0.034571
7.14835 1272 -1.0567 -0.029630
7.14992 1274 -0.8573 -0.024017
7.15227 1277 -0.8772 -0.024547
