om power
0.50 1.6176e-5
0.52 1.4819e-5
0.54 1.3505e-5
0.56 1.2246e-5
0.58 1.1052e-5
0.60 9.9369e-6
0.62 8.9107e-6
0.64 7.9853e-6
0.66 7.1717e-6
0.68 6.4806e-6
0.70 5.9218e-6
0.72 5.5048e-6
0.74 5.2376e-6
0.76 5.1278e-6
0.78 5.1815e-6
0.80 5.4035e-6
0.82 5.7972e-6
0.84 6.3646e-6
0.86 7.1060e-6
0.88 8.0200e-6
0.90 9.1033e-6
0.92 1.0351e-5
0.94 1.1756e-5
0.96 1.3310e-5
0.98 1.5002e-5
1.00 1.6819e-5
1.02 1.8748e-5
1.04 2.0773e-5
1.06 2.2875e-5
1.08 2.5037e-5
1.10 2.7238e-5
1.12 2.9457e-5
1.14 3.1671e-5
1.16 3.3858e-5
1.18 3.5996e-5
1.20 3.8059e-5
1.22 4.0026e-5
1.24 4.1873e-5
1.26 4.3578e-5
1.28 4.5121e-5
1.30 4.6481e-5
1.32 4.7639e-5
1.34 4.8581e-5
1.36 4.9290e-5
1.38 4.9755e-5
1.40 4.9967e-5
1.42 4.9919e-5
1.44 4.9608e-5
1.46 4.9033e-5
1.48 4.8196e-5
1.50 4.7105e-5
1.52 4.5769e-5
1.54 4.4201e-5
1.56 4.2416e-5
1.58 4.0436e-5
1.60 3.8283e-5
1.62 3.5982e-5
1.64 3.3563e-5
1.66 3.1058e-5
1.68 2.8499e-5
1.70 2.5924e-5
1.72 2.3368e-5
1.74 2.0872e-5
1.76 1.8475e-5
1.78 1.6217e-5
1.80 1.4139e-5
1.82 1.2281e-5
1.84 1.0681e-5
1.86 9.3788e-6
1.88 8.4095e-6
1.90 7.8076e-6
1.92 7.6045e-6
1.94 7.8291e-6
1.96 8.5064e-6
1.98 9.6583e-6
2.00 1.1302e-5
2.02 1.3452e-5
2.04 1.6116e-5
2.06 1.9299e-5
2.08 2.3001e-5
2.10 2.7215e-5
2.12 3.1932e-5
2.14 3.7137e-5
2.16 4.2809e-5
2.18 4.8925e-5
2.20 5.5454e-5
2.22 6.2364e-5
2.24 6.9618e-5
2.26 7.7174e-5
2.28 8.4988e-5
2.30 9.3013e-5
2.32 1.0120e-4
2.34 1.0949e-4
2.36 1.1785e-4
2.38 1.2620e-4
2.40 1.3450e-4
2.42 1.4269e-4
2.44 1.5072e-4
2.46 1.5853e-4
2.48 1.6607e-4
2.50 1.7329e-4
2.52 1.8015e-4
2.54 1.8659e-4
2.56 1.9258e-4
2.58 1.9808e-4
2.60 2.0305e-4
2.62 2.0746e-4
2.64 2.1129e-4
2.66 2.1451e-4
2.68 2.1711e-4
2.70 2.1908e-4
2.72 2.2040e-4
2.74 2.2108e-4
2.76 2.2111e-4
2.78 2.2051e-4
2.80 2.1928e-4
2.82 2.1744e-4
2.84 2.1501e-4
2.86 2.1202e-4
2.88 2.0848e-4
2.90 2.0443e-4
2.92 1.9991e-4
2.94 1.9494e-4
2.96 1.8956e-4
2.98 1.8382e-4
3.00 1.7775e-4
3.02 1.7140e-4
3.04 1.6480e-4
3.06 1.5800e-4
3.08 1.5105e-4
3.10 1.4397e-4
3.12 1.3682e-4
3.14 1.2963e-4
3.16 1.2245e-4
3.18 1.1530e-4
3.20 1.0822e-4
3.22 1.0124e-4
3.24 9.4396e-5
3.26 8.7713e-5
3.28 8.1216e-5
3.30 7.4927e-5
3.32 6.8866e-5
3.34 6.3050e-5
3.36 5.7492e-5
3.38 5.2205e-5
3.40 4.7198e-5
3.42 4.2477e-5
3.44 3.8046e-5
3.46 3.3907e-5
3.48 3.0060e-5
3.50 2.6503e-5
3.52 2.3230e-5
3.54 2.0238e-5
3.56 1.7518e-5
3.58 1.5062e-5
3.60 1.2860e-5
3.62 1.0901e-5
3.64 9.1742e-6
3.66 7.6677e-6
3.68 6.3687e-6
3.70 5.2647e-6
3.72 4.3426e-6
3.74 3.5897e-6
3.76 2.9933e-6
3.78 2.5407e-6
3.80 2.2199e-6
3.82 2.0192e-6
3.84 1.9272e-6
3.86 1.9333e-6
3.88 2.0273e-6
3.90 2.1999e-6
3.92 2.4423e-6
3.94 2.7463e-6
3.96 3.1045e-6
3.98 3.5101e-6
4.00 3.9570e-6
4.02 4.4397e-6
4.04 4.9533e-6
4.06 5.4934e-6
4.08 6.0563e-6
4.10 6.6386e-6
4.12 7.2375e-6
4.14 7.8503e-6
4.16 8.4750e-6
4.18 9.1096e-6
4.20 9.7526e-6
4.22 1.0402e-5
4.24 1.1058e-5
4.26 1.1717e-5
4.28 1.2380e-5
4.30 1.3045e-5
4.32 1.3711e-5
4.34 1.4377e-5
4.36 1.5042e-5
4.38 1.5705e-5
4.40 1.6363e-5
4.42 1.7017e-5
4.44 1.7664e-5
4.46 1.8303e-5
4.48 1.8932e-5
4.50 1.9549e-5
4.52 2.0153e-5
4.54 2.0741e-5
4.56 2.1312e-5
4.58 2.1863e-5
4.60 2.2392e-5
4.62 2.2898e-5
4.64 2.3377e-5
4.66 2.3828e-5
4.68 2.4249e-5
