logY Y P PoverSqrtY
6.90675 999 -4.5583 -0.144217
6.90975 1002 -5.1022 -0.161185
6.91274 1005 -4.4739 -0.141124
6.91473 1007 -5.4171 -0.170706
6.91771 1010 -4.4685 -0.140606
6.91968 1012 -5.2757 -0.165839
6.92264 1015 -4.7763 -0.149921
6.92461 1017 -5.8878 -0.184625
6.92756 1020 -5.6270 -0.176189
6.92952 1022 -6.8670 -0.214804
6.93245 1025 -6.3306 -0.197735
6.93537 1028 -7.5691 -0.236072
6.93731 1030 -7.1750 -0.223566
6.94022 1033 -8.4734 -0.263636
6.94216 1035 -7.4657 -0.232061
6.94505 1038 -7.8965 -0.245096
6.94794 1041 -7.2662 -0.225206
6.94986 1043 -7.8825 -0.244073
6.95273 1046 -7.4626 -0.230742
6.95464 1048 -8.2558 -0.255022
6.95750 1051 -7.4123 -0.228641
6.96035 1054 -7.4407 -0.229188
6.96224 1056 -7.7080 -0.237199
6.96508 1059 -7.8278 -0.240542
6.96791 1062 -7.9610 -0.244290
6.96979 1064 -7.0957 -0.217532
6.97261 1067 -7.6659 -0.234682
6.97541 1070 -6.5372 -0.199849
6.97821 1073 -7.1925 -0.219575
6.98008 1075 -6.3577 -0.193907
6.98286 1078 -6.9750 -0.212438
6.98564 1081 -6.5568 -0.199426
6.98749 1083 -7.5122 -0.228271
6.99026 1086 -7.2622 -0.220371
6.99302 1089 -7.2309 -0.219117
6.99577 1092 -7.8225 -0.236721
6.99760 1094 -7.1215 -0.215309
7.00033 1097 -7.9513 -0.240069
7.00307 1100 -7.0628 -0.212951
7.00579 1103 -7.6377 -0.229973
7.00760 1105 -6.8185 -0.205121
7.01031 1108 -7.9078 -0.237567
7.01302 1111 -7.7483 -0.232459
7.01571 1114 -8.1013 -0.242724
7.01840 1117 -8.8634 -0.265200
7.02019 1119 -8.3737 -0.250323
7.02287 1122 -9.1347 -0.272709
7.02554 1125 -8.3017 -0.247509
7.02820 1128 -8.8476 -0.263432
7.03086 1131 -8.1964 -0.243720
7.03351 1134 -8.5628 -0.254278
7.03527 1136 -8.9569 -0.265747
7.03791 1139 -9.4110 -0.278851
7.04054 1142 -10.4469 -0.309140
7.04316 1145 -9.8032 -0.289711
7.04578 1148 -10.9035 -0.321807
7.04839 1151 -10.4461 -0.307905
7.05099 1154 -10.0838 -0.296840
7.05359 1157 -10.2516 -0.301386
7.05618 1160 -9.2828 -0.272553
7.05876 1163 -9.9021 -0.290362
7.06048 1165 -8.9378 -0.261860
7.06305 1168 -9.5177 -0.278490
7.06561 1171 -8.9210 -0.260697
7.06817 1174 -9.1096 -0.265867
7.07072 1177 -10.0535 -0.293041
7.07327 1180 -8.6127 -0.250724
7.07581 1183 -8.8547 -0.257444
7.07834 1186 -8.1217 -0.235834
7.08087 1189 -7.9548 -0.230696
7.08339 1192 -8.1529 -0.236143
7.08590 1195 -7.0486 -0.203900
7.08841 1198 -7.7368 -0.223529
7.09091 1201 -7.2831 -0.210159
7.09340 1204 -7.2156 -0.207949
7.09589 1207 -7.5029 -0.215961
7.09838 1210 -6.7502 -0.194054
7.10085 1213 -7.8419 -0.225161
7.10332 1216 -7.5800 -0.217372
7.10661 1220 -7.6162 -0.218051
7.10906 1223 -8.6543 -0.247468
7.11151 1226 -8.6448 -0.246894
7.11396 1229 -8.9023 -0.253937
7.11639 1232 -9.2087 -0.262356
7.11883 1235 -8.3110 -0.236493
7.12125 1238 -9.1775 -0.260835
7.12367 1241 -8.5885 -0.243798
7.12609 1244 -8.4860 -0.240597
7.12850 1247 -8.7998 -0.249197
7.13170 1251 -8.3479 -0.236020
7.13409 1254 -8.5852 -0.242440
7.13648 1257 -8.9971 -0.253767
7.13887 1260 -8.1662 -0.230056
7.14125 1263 -9.0628 -0.255012
7.14362 1266 -8.4036 -0.236183
7.14677 1270 -8.0779 -0.226671
7.14913 1273 -8.7457 -0.245121
7.15149 1276 -8.3847 -0.234727
7.15383 1279 -9.0415 -0.252816
7.15696 1283 -10.0756 -0.281291
7.15929 1286 -9.7098 -0.270764
7.16162 1289 -10.0748 -0.280616
7.16395 1292 -10.8839 -0.302800
7.16704 1296 -9.8119 -0.272553
7.16935 1299 -9.3655 -0.259853
7.17166 1302 -9.9114 -0.274681
7.17396 1305 -9.1403 -0.253021
7.17702 1309 -8.9643 -0.247769
7.17931 1312 -9.2946 -0.256603
7.18159 1315 -8.3709 -0.230839
7.18463 1319 -8.5277 -0.234807
7.18690 1322 -8.8547 -0.243533
7.18917 1325 -7.1827 -0.197324
7.19218 1329 -6.7688 -0.185674
7.19444 1332 -7.1035 -0.194635
7.19669 1335 -6.0114 -0.164527
7.19968 1339 -6.1116 -0.167018
7.20192 1342 -6.7615 -0.184572
7.20415 1345 -6.2605 -0.170705
7.20712 1349 -6.2406 -0.169911
7.20934 1352 -6.4531 -0.175502
7.21229 1356 -5.7790 -0.156937
7.21450 1359 -5.5079 -0.149409
7.21671 1362 -5.8160 -0.157592
7.21964 1366 -4.8091 -0.130117
7.22184 1369 -4.8647 -0.131477
7.22475 1373 -5.8337 -0.157437
7.22694 1376 -4.6821 -0.126221
7.22984 1380 -4.2628 -0.114750
7.23201 1383 -5.1006 -0.137156
7.23490 1387 -4.6100 -0.123784
7.23706 1390 -3.6429 -0.097710
7.23993 1394 -3.8794 -0.103904
7.24208 1397 -4.8493 -0.129741
7.24494 1401 -4.4411 -0.118652
7.24708 1404 -4.6529 -0.124177
7.24993 1408 -5.7229 -0.152516
7.25205 1411 -5.1917 -0.138211
7.25488 1415 -4.6759 -0.124304
7.25700 1418 -5.2452 -0.139290
7.25982 1422 -5.6496 -0.149819
7.26263 1426 -5.0862 -0.134690
7.26473 1429 -5.1565 -0.136408
7.26753 1433 -6.3380 -0.167430
7.26962 1436 -5.8229 -0.153662
7.27240 1440 -5.3351 -0.140591
7.27517 1444 -5.1130 -0.134554
7.27725 1447 -5.7691 -0.151660
7.28001 1451 -5.0351 -0.132184
7.28276 1455 -4.4944 -0.117826
7.28482 1458 -5.4393 -0.142451
7.28756 1462 -5.4618 -0.142845
7.29029 1466 -4.6992 -0.122730
7.29234 1469 -4.3963 -0.114703
7.29506 1473 -5.0771 -0.132286
7.29777 1477 -5.3267 -0.138602
7.30047 1481 -4.3628 -0.113366
7.30250 1484 -4.4250 -0.114868
7.30519 1488 -4.9580 -0.128531
7.30787 1492 -4.5609 -0.118077
7.30988 1495 -3.2306 -0.083553
7.31255 1499 -3.2603 -0.084209
7.31522 1503 -3.8660 -0.099720
7.31788 1507 -3.5642 -0.091813
7.32053 1511 -2.9181 -0.075071
7.32251 1514 -2.9385 -0.075520
7.32515 1518 -3.1495 -0.080836
7.32778 1522 -2.8101 -0.072029
7.33041 1526 -2.3683 -0.060625
7.33302 1530 -1.8729 -0.047883
7.33563 1534 -2.1882 -0.055870
7.33824 1538 -3.3045 -0.084262
7.34019 1541 -3.3539 -0.085438
7.34278 1545 -3.5184 -0.089511
7.34536 1549 -4.2089 -0.106942
7.34794 1553 -5.2297 -0.132706
7.35052 1557 -5.2682 -0.133511
7.35308 1561 -5.0627 -0.128140
7.35564 1565 -5.5558 -0.140440
7.35819 1569 -6.1554 -0.155398
7.36074 1573 -6.4699 -0.163130
7.36328 1577 -6.9261 -0.174410
7.36581 1581 -5.9665 -0.150056
7.36834 1585 -5.2711 -0.132400
7.37086 1589 -5.1806 -0.129963
7.37337 1593 -5.9744 -0.149687
7.37588 1597 -6.1167 -0.153062
7.37838 1601 -5.7470 -0.143631
7.38088 1605 -5.8885 -0.146983
7.38337 1609 -5.9675 -0.148770
7.38585 1613 -6.1666 -0.153543
7.38833 1617 -6.0147 -0.149576
7.39080 1621 -4.8958 -0.121599
7.39326 1625 -4.2094 -0.104422
7.39572 1629 -4.3963 -0.108926
7.39817 1633 -4.8931 -0.121086
7.40062 1637 -4.1442 -0.102428
7.40367 1642 -3.6344 -0.089691
7.40610 1646 -2.6669 -0.065735
7.40853 1650 -1.9642 -0.048356
7.41095 1654 -2.1254 -0.052260
7.41337 1658 -2.7062 -0.066461
7.41578 1662 -2.6048 -0.063895
7.41878 1667 -2.5711 -0.062974
7.42118 1671 -2.2928 -0.056090
7.42357 1675 -1.5124 -0.036953
7.42595 1679 -1.5644 -0.038180
7.42833 1683 -2.2398 -0.054596
7.43130 1688 -2.0482 -0.049852
7.43367 1692 -2.0859 -0.050710
7.43603 1696 -2.0897 -0.050742
7.43838 1700 -1.8369 -0.044551
7.44132 1705 -2.0340 -0.049259
7.44366 1709 -2.6691 -0.064563
7.44600 1713 -3.2943 -0.079595
7.44892 1718 -3.0548 -0.073701
7.45124 1722 -3.4504 -0.083147
7.45356 1726 -2.8510 -0.068625
7.45645 1731 -2.9542 -0.071006
7.45876 1735 -3.0138 -0.072355
7.46107 1739 -3.2244 -0.077321
7.46394 1744 -3.2256 -0.077238
7.46623 1748 -4.1737 -0.099828
7.46908 1753 -3.7830 -0.090354
7.47136 1757 -3.6886 -0.087998
7.47364 1761 -3.0578 -0.072866
7.47647 1766 -2.8539 -0.067912
7.47873 1770 -2.8180 -0.066980
7.48156 1775 -2.7346 -0.064908
7.48381 1779 -2.4476 -0.058029
7.48661 1784 -2.0430 -0.048371
7.48885 1788 -2.5231 -0.059669
7.49165 1793 -2.2394 -0.052886
7.49387 1797 -2.6111 -0.061595
7.49665 1802 -3.0472 -0.071783
